transaction_id,supplier_id,transaction_date,contract_value_usd,currency,category,subcategory,department,contract_duration_months,tender_type,local_content_percentage,payment_terms,contract_start_date,contract_end_date,po_number,delivery_location,project_code,budget_code,approval_level,contract_status
TXN000011,SUP0374,2013-08-31,659550.31,USD,IT Services,Training Services,Security,12,Open Tender,26.9,Upon Delivery,2013-08-31,2014-08-26,PO383060,Ahafo North,PRJ6313,BUD963,Manager,Completed
TXN000012,SUP0408,2015-02-20,30951.61,USD,Training Services,Supplies & Materials,Mining Operations,1,Open Tender,100.0,Net 90,2015-02-20,2015-03-22,PO520651,Subika,PRJ2084,BUD316,VP,Completed
TXN000013,SUP0431,2014-10-08,13308.46,USD,Environmental Services,Laboratory Services,Mining Operations,36,Direct Award,99.2,Upon Delivery,2014-10-08,2017-09-22,PO514850,Accra Office,PRJ3340,BUD371,Director,Completed
TXN000014,SUP0023,2015-07-14,552015.48,USD,Equipment Parts,Environmental Services,Maintenance,3,Open Tender,87.9,Net 90,2015-07-14,2015-10-12,PO883300,Accra Office,PRJ7543,BUD470,Director,Completed
TXN000015,SUP0403,2013-02-07,219315.45,USD,Safety Equipment,Training Services,Mining Operations,3,Open Tender,59.2,Upon Delivery,2013-02-07,2013-05-08,PO195325,Ahafo South,PRJ2796,BUD256,Director,Completed
TXN000016,SUP0310,2025-04-06,72350.41,USD,Electrical Services,Equipment Parts,Mining Operations,12,Restricted Tender,75.8,Net 30,2025-04-06,2026-04-01,PO503457,Accra Office,PRJ8668,BUD641,VP,Active
TXN000017,SUP0405,2022-05-30,54377.8,USD,Legal Services,Financial Services,Mining Operations,1,Open Tender,83.9,Net 30,2022-05-30,2022-06-29,PO814825,Subika,PRJ6573,BUD214,VP,Completed
TXN000018,SUP0376,2019-10-02,58841.91,USD,Consulting Services,Civil Works,Maintenance,3,Open Tender,88.6,Upon Delivery,2019-10-02,2019-12-31,PO103402,Subika,PRJ9201,BUD880,Director,Completed
TXN000019,SUP0061,2021-05-21,16975.46,USD,Fuel & Lubricants,Laboratory Services,Maintenance,1,Direct Award,93.0,Net 90,2021-05-21,2021-06-20,PO982554,Ahafo North,PRJ3504,BUD482,Director,Completed
TXN000020,SUP0136,2022-02-05,295099.03,USD,Construction Services,Catering Services,Mining Operations,24,Open Tender,80.0,Net 30,2022-02-05,2024-01-26,PO728038,Subika,PRJ9005,BUD119,Manager,Completed
TXN000021,SUP0180,2018-02-21,38830.76,USD,Environmental Services,Mechanical Services,Maintenance,6,Open Tender,95.5,Net 60,2018-02-21,2018-08-20,PO160738,Ahafo North,PRJ2290,BUD187,SVP,Completed
TXN000022,SUP0287,2011-07-21,324780.59,USD,Civil Works,Civil Works,Security,3,Open Tender,42.3,Net 60,2011-07-21,2011-10-19,PO234628,Accra Office,PRJ3705,BUD371,SVP,Cancelled
TXN000023,SUP0485,2014-10-02,117597.82,USD,Legal Services,Transportation & Logistics,Environmental,24,Open Tender,60.5,Net 60,2014-10-02,2016-09-21,PO847581,Subika,PRJ7537,BUD787,VP,Completed
TXN000024,SUP0405,2019-10-29,57907.35,USD,Legal Services,Financial Services,Maintenance,24,Open Tender,85.4,Upon Delivery,2019-10-29,2021-10-18,PO226882,Ahafo North,PRJ4681,BUD165,VP,Completed
TXN000025,SUP0163,2010-06-22,206494.35,USD,Fuel & Lubricants,Transportation & Logistics,Maintenance,3,Open Tender,32.1,Net 60,2010-06-22,2010-09-20,PO717024,Ahafo North,PRJ1117,BUD172,Manager,Completed
TXN000026,SUP0375,2015-02-19,40445.46,USD,Electrical Services,Equipment Rental,Mining Operations,1,Open Tender,95.1,Net 30,2015-02-19,2015-03-21,PO446479,Ahafo South,PRJ9423,BUD343,VP,Completed
TXN000027,SUP0174,2025-01-02,206013.06,USD,Construction Services,Laboratory Services,Community Relations,12,Open Tender,70.6,Net 60,2025-01-02,2025-12-28,PO665427,Ahafo North,PRJ8744,BUD348,SVP,Active
TXN000028,SUP0016,2019-02-17,45722.99,USD,Transportation & Logistics,Consulting Services,Administration,1,Open Tender,83.9,Net 30,2019-02-17,2019-03-19,PO201639,Accra Office,PRJ6804,BUD533,SVP,Completed
TXN000029,SUP0140,2020-06-22,25258024.125,GHS,Environmental Services,Consulting Services,Mining Operations,36,Restricted Tender,9.1,Net 30,2020-06-22,2023-06-07,PO806073,Ahafo South,PRJ1993,BUD512,VP,Completed
TXN000030,SUP0078,2012-06-14,34857.59,USD,Environmental Services,Catering Services,Mining Operations,3,Open Tender,95.4,Net 60,2012-06-14,2012-09-12,PO299448,Accra Office,PRJ3296,BUD532,Director,Completed
TXN000031,SUP0247,2016-03-31,5989538.875,GHS,Mechanical Services,Training Services,Administration,12,Open Tender,30.8,Net 60,2016-03-31,2017-03-26,PO179046,Accra Office,PRJ2604,BUD151,Manager,Completed
TXN000032,SUP0118,2012-02-04,179759.07,USD,Construction Services,Fuel & Lubricants,Mining Operations,3,Open Tender,81.2,Net 60,2012-02-04,2012-05-04,PO526156,Accra Office,PRJ8886,BUD318,SVP,Completed
TXN000033,SUP0375,2011-04-26,8949.78,USD,Electrical Services,Equipment Rental,Administration,3,Direct Award,95.3,Upon Delivery,2011-04-26,2011-07-25,PO102260,Accra Office,PRJ5345,BUD902,SVP,Completed
TXN000034,SUP0193,2016-05-25,1415929.99,USD,Consulting Services,Laboratory Services,Security,12,Open Tender,9.9,Upon Delivery,2016-05-25,2017-05-20,PO262316,Ahafo North,PRJ5861,BUD322,Manager,Completed
TXN000035,SUP0079,2022-12-28,65153.9,USD,Legal Services,Safety Equipment,Maintenance,36,Open Tender,72.0,Net 30,2022-12-28,2025-12-12,PO884309,Subika,PRJ1936,BUD151,SVP,Active
TXN000036,SUP0142,2021-04-12,190325.12,USD,Financial Services,Supplies & Materials,Security,24,Open Tender,91.1,Net 60,2021-04-12,2023-04-02,PO159642,Ahafo South,PRJ4044,BUD170,Manager,Completed
TXN000037,SUP0328,2025-02-22,450308.09,USD,Electrical Services,Supplies & Materials,Security,3,Open Tender,26.1,Upon Delivery,2025-02-22,2025-05-23,PO225710,Ahafo North,PRJ1651,BUD734,Manager,Cancelled
TXN000038,SUP0282,2019-05-28,196500.02,USD,Environmental Services,IT Services,Environmental,36,Restricted Tender,79.7,Net 90,2019-05-28,2022-05-12,PO373432,Ahafo North,PRJ6147,BUD344,VP,Completed
TXN000039,SUP0040,2018-11-17,202997.24,USD,Legal Services,Mechanical Services,Community Relations,3,Restricted Tender,34.4,Net 90,2018-11-17,2019-02-15,PO579434,Subika,PRJ2188,BUD109,SVP,Completed
TXN000040,SUP0206,2023-12-07,14237.23,USD,Office Supplies,Medical Services,Mining Operations,3,Direct Award,98.7,Net 30,2023-12-07,2024-03-06,,Ahafo North,PRJ9288,BUD371,Director,Completed
TXN000041,SUP0348,2017-10-30,27832.09,USD,Equipment Parts,Waste Management,Environmental,1,Open Tender,100.0,Net 60,2017-10-30,2017-11-29,PO487477,Subika,PRJ3584,BUD548,VP,Completed
TXN000042,SUP0318,2023-09-20,474268.45,USD,Equipment Rental,Transportation & Logistics,Mining Operations,3,Open Tender,79.8,Net 30,2023-09-20,2023-12-19,PO800305,Subika,PRJ2697,BUD999,Director,Completed
TXN000043,SUP0191,2015-12-07,46947.28,USD,Training Services,Laboratory Services,Mining Operations,1,Open Tender,96.9,Net 30,2015-12-07,2016-01-06,PO878480,Ahafo North,PRJ5462,BUD388,Director,Completed
TXN000044,SUP0312,2017-09-09,17017.74,USD,Safety Equipment,Security Services,Maintenance,1,Direct Award,98.0,Net 90,2017-09-09,2017-10-09,PO629959,Accra Office,PRJ5114,BUD966,Manager,Completed
TXN000045,SUP0011,2012-01-27,41376.41,USD,Medical Services,Catering Services,Mining Operations,36,Open Tender,97.5,Upon Delivery,2012-01-27,2015-01-11,PO969634,Subika,PRJ1722,BUD103,VP,Completed
TXN000046,SUP0225,2012-12-07,29456.07,USD,Transportation & Logistics,Accounting Services,Security,3,Open Tender,78.1,Net 90,2012-12-07,2013-03-07,PO269430,Accra Office,PRJ8007,BUD674,Manager,Completed
TXN000047,SUP0432,2012-07-05,327232.03,USD,Legal Services,Security Services,Security,1,Open Tender,18.8,Net 60,2012-07-05,2012-08-04,PO672092,Ahafo South,PRJ7049,BUD696,Director,Completed
TXN000048,SUP0238,2019-08-22,47970.04,USD,Financial Services,Legal Services,Maintenance,3,Open Tender,95.9,Net 30,2019-08-22,2019-11-20,PO423232,Subika,PRJ1653,BUD466,Director,Completed
TXN000049,SUP0500,2025-04-19,4015150.82,USD,Transportation & Logistics,Catering Services,Mining Operations,1,Restricted Tender,6.8,Net 30,2025-04-19,2025-05-19,PO470858,Accra Office,PRJ3532,BUD342,Director,Completed
TXN000050,SUP0480,2013-12-21,212267.03,USD,Training Services,Consulting Services,Community Relations,12,Restricted Tender,45.1,Net 30,2013-12-21,2014-12-16,PO288073,Subika,PRJ7745,BUD921,Director,Completed
TXN000051,SUP0043,2015-12-26,110751.71,USD,Equipment Rental,Mechanical Services,Mining Operations,1,Open Tender,98.7,Net 30,2015-12-26,2016-01-25,PO501124,Ahafo South,PRJ8711,BUD327,Director,Completed
TXN000052,SUP0414,2020-04-28,283057.06,USD,Fuel & Lubricants,Financial Services,Maintenance,2,Open Tender,40.6,Net 90,2020-04-28,2020-06-27,PO960394,Ahafo North,PRJ4652,BUD124,Director,Completed
TXN000053,SUP0117,2018-12-09,613596.5,USD,Laboratory Services,Catering Services,Mining Operations,6,Open Tender,35.9,Net 90,2018-12-09,2019-06-07,PO172792,Subika,PRJ6753,BUD756,SVP,Completed
TXN000054,SUP0117,2025-03-29,851039.18,USD,Laboratory Services,Catering Services,Community Relations,24,Open Tender,29.8,Net 90,2025-03-29,2027-03-19,PO128941,Ahafo South,PRJ5279,BUD282,VP,Active
TXN000055,SUP0094,2010-11-10,1199939.5,USD,Equipment Rental,Construction Services,Mining Operations,1,Restricted Tender,43.8,Upon Delivery,2010-11-10,2010-12-10,PO462479,Subika,PRJ8149,BUD720,Manager,Completed
TXN000056,SUP0258,2018-08-22,233361.53,USD,Waste Management,Construction Services,Environmental,3,Open Tender,30.9,Net 60,2018-08-22,2018-11-20,,Ahafo South,PRJ8144,BUD101,Director,Completed
TXN000057,SUP0086,2018-03-03,111746.59,USD,Training Services,Electrical Services,Environmental,12,Open Tender,83.2,Net 30,2018-03-03,2019-02-26,PO796503,Subika,PRJ6143,BUD779,Manager,Completed
TXN000058,SUP0482,2016-09-26,224828.37,USD,Supplies & Materials,Financial Services,Community Relations,3,Open Tender,32.0,Net 90,2016-09-26,2016-12-25,PO799287,Accra Office,PRJ6344,BUD512,VP,Completed
TXN000059,SUP0357,2022-06-08,24994.01,USD,Supplies & Materials,Construction Services,Mining Operations,1,Direct Award,98.1,Net 60,2022-06-08,2022-07-08,PO540869,Accra Office,PRJ3851,BUD730,VP,Completed
TXN000060,SUP0251,2019-02-09,126137.38,USD,Office Supplies,Safety Equipment,Mining Operations,3,Open Tender,72.1,Net 30,2019-02-09,2019-05-10,PO418635,Subika,PRJ4443,BUD540,VP,Completed
TXN000061,SUP0028,2020-06-06,343225.86,USD,Supplies & Materials,Construction Services,Mining Operations,2,Open Tender,58.6,Upon Delivery,2020-06-06,2020-08-05,PO808446,Ahafo North,PRJ9375,BUD584,Director,Completed
TXN000062,SUP0303,2024-10-11,1246992.74259431,USD,Equipment Rental,Catering Services,Community Relations,1,Restricted Tender,35.2,Net 90,2024-10-11,2024-11-10,PO640490,Subika,PRJ2530,BUD938,Director,Completed
TXN000063,SUP0001,2025-02-02,179022.22,USD,Financial Services,Environmental Services,Maintenance,6,Restricted Tender,82.7,Net 60,2025-02-02,2025-08-01,PO945742,Ahafo North,PRJ3414,BUD125,Manager,Completed
TXN000064,SUP0475,2015-06-29,178973.34,USD,Environmental Services,Waste Management,Maintenance,12,Open Tender,39.3,Net 30,2015-06-29,2016-06-23,PO577538,Accra Office,PRJ4185,BUD835,SVP,Completed
TXN000065,SUP0150,2021-02-01,19326.86,USD,Fuel & Lubricants,Fuel & Lubricants,Environmental,2,Restricted Tender,84.4,Net 60,2021-02-01,2021-04-02,PO254739,Ahafo South,PRJ2746,BUD897,SVP,Completed
TXN000066,SUP0005,2014-11-28,184332.81,USD,Consulting Services,Civil Works,Mining Operations,3,Open Tender,74.4,Upon Delivery,2014-11-28,2015-02-26,PO152657,Ahafo North,PRJ2988,BUD567,Director,Completed
TXN000067,SUP0037,2020-06-03,79980.14,USD,Transportation & Logistics,Training Services,Environmental,3,Restricted Tender,78.1,Net 90,2020-06-03,2020-09-01,PO891937,Accra Office,PRJ9270,BUD536,SVP,Completed
TXN000068,SUP0159,2013-07-27,230650.92,USD,Equipment Rental,Catering Services,Environmental,3,Restricted Tender,72.0,Upon Delivery,2013-07-27,2013-10-25,PO571932,Subika,PRJ5050,BUD960,VP,Completed
TXN000069,SUP0423,2021-09-10,11137.55,USD,Training Services,Medical Services,Security,12,Direct Award,98.0,Net 60,2021-09-10,2022-09-05,PO387936,Accra Office,PRJ2269,BUD830,VP,Completed
TXN000070,SUP0122,2015-04-05,13225135.29,USD,Construction Services,Medical Services,Maintenance,6,Restricted Tender,0.6,Net 90,2015-04-05,2015-10-02,PO435239,Ahafo South,PRJ3267,BUD254,Director,Completed
TXN000071,SUP0390,2018-08-04,1864369.36,USD,Equipment Parts,Transportation & Logistics,Security,3,Open Tender,10.6,Net 60,2018-08-04,2018-11-02,PO840734,Ahafo North,PRJ2052,BUD524,SVP,Completed
TXN000072,SUP0427,2017-06-03,30101.02,USD,Fuel & Lubricants,Laboratory Services,Environmental,3,Open Tender,67.3,Upon Delivery,2017-06-03,2017-09-01,PO535970,Ahafo South,PRJ4388,BUD952,SVP,Completed
TXN000073,SUP0210,2018-09-26,70130.16,USD,Laboratory Services,Laboratory Services,Mining Operations,24,Open Tender,73.3,Net 30,2018-09-26,2020-09-15,PO998348,Accra Office,PRJ8814,BUD106,VP,Completed
TXN000074,SUP0498,2016-09-12,122446.89,USD,Equipment Parts,Transportation & Logistics,Administration,2,Restricted Tender,99.5,Upon Delivery,2016-09-12,2016-11-11,PO664365,Ahafo North,PRJ8999,BUD324,VP,Cancelled
TXN000075,SUP0052,2019-10-11,526275.74,USD,Transportation & Logistics,Equipment Parts,Administration,2,Open Tender,33.8,Net 30,2019-10-11,2019-12-10,PO507746,Subika,PRJ7624,BUD841,Director,Completed
TXN000076,SUP0488,2020-06-25,82340.23,USD,Legal Services,Supplies & Materials,Mining Operations,3,Direct Award,90.6,Net 30,2020-06-25,2020-09-23,PO513160,Ahafo South,PRJ2375,BUD758,SVP,Completed
TXN000077,SUP0237,2013-01-16,98354.84,USD,Equipment Parts,Office Supplies,Administration,2,Restricted Tender,74.0,Net 60,2013-01-16,2013-03-17,PO152727,Subika,PRJ7211,BUD435,Director,Completed
TXN000078,SUP0419,2020-03-13,329744.15,USD,Laboratory Services,Transportation & Logistics,Environmental,6,Open Tender,35.5,Net 90,2020-03-13,2020-09-09,PO898207,Accra Office,PRJ5558,BUD870,SVP,Completed
TXN000079,SUP0165,2015-08-29,13436.57,USD,Office Supplies,Transportation & Logistics,Environmental,1,Direct Award,97.6,Upon Delivery,2015-08-29,2015-09-28,PO120324,Ahafo South,PRJ6733,BUD329,Manager,Completed
TXN000080,SUP0088,2024-08-14,644122.89,USD,Fuel & Lubricants,Office Supplies,Maintenance,1,Open Tender,23.2,Net 30,2024-08-14,2024-09-13,PO359295,Ahafo North,PRJ1333,BUD736,Director,Completed
TXN000081,SUP0354,2015-05-09,2211306.625,GHS,Legal Services,Waste Management,Mining Operations,3,Open Tender,81.5,Upon Delivery,2015-05-09,2015-08-07,PO801978,Ahafo South,PRJ4571,BUD576,VP,Completed
TXN000082,SUP0172,2018-04-10,41006.21,USD,Fuel & Lubricants,Supplies & Materials,Mining Operations,1,Open Tender,99.6,Net 30,2018-04-10,2018-05-10,PO915573,Ahafo North,PRJ6096,BUD210,Manager,Completed
TXN000083,SUP0154,2016-12-30,326120.72,USD,Consulting Services,Maintenance Services,Mining Operations,24,Open Tender,37.1,Upon Delivery,2016-12-30,2018-12-20,PO515922,Ahafo North,PRJ2245,BUD706,Director,Completed
TXN000084,SUP0006,2012-04-14,85703.73,USD,Training Services,Environmental Services,Environmental,36,Open Tender,76.0,Net 90,2012-04-14,2015-03-30,PO991597,Ahafo South,PRJ1672,BUD455,SVP,Completed
TXN000085,SUP0113,2024-11-02,4004006.59,USD,Environmental Services,Electrical Services,Maintenance,6,Open Tender,7.7,Net 30,2024-11-02,2025-05-01,PO630538,Subika,PRJ1207,BUD969,SVP,Completed
TXN000086,SUP0471,2020-12-29,48819.17,USD,Supplies & Materials,IT Services,Administration,1,Open Tender,98.9,Upon Delivery,2020-12-29,2021-01-28,PO479781,Accra Office,PRJ3506,BUD545,Director,Completed
TXN000087,SUP0284,2021-09-14,11529.9,USD,Legal Services,Office Supplies,Maintenance,36,Restricted Tender,98.3,Net 90,2021-09-14,2024-08-29,PO745830,Accra Office,PRJ8616,BUD546,VP,Completed
TXN000088,SUP0136,2017-03-25,507889.45,USD,Construction Services,Catering Services,Administration,3,Open Tender,87.7,Net 30,2017-03-25,2017-06-23,PO392477,Accra Office,PRJ4995,BUD868,SVP,Completed
TXN000089,SUP0340,2022-10-13,40906.91,USD,Safety Equipment,Medical Services,Security,3,Restricted Tender,96.9,Upon Delivery,2022-10-13,2023-01-11,PO452737,Ahafo South,PRJ9098,BUD971,VP,Completed
TXN000090,SUP0113,2014-01-29,2727612.84,USD,Environmental Services,Electrical Services,Mining Operations,12,Open Tender,13.6,Net 60,2014-01-29,2015-01-24,PO472060,Subika,PRJ6576,BUD386,VP,Completed
TXN000091,SUP0343,2022-06-20,172184.84,USD,Environmental Services,Laboratory Services,Security,1,Restricted Tender,83.2,Net 60,2022-06-20,2022-07-20,PO189771,Ahafo North,PRJ7658,BUD600,Director,Completed
TXN000092,SUP0216,2025-06-28,28487.35,USD,Safety Equipment,Waste Management,Security,2,Open Tender,87.4,Upon Delivery,2025-06-28,2025-08-27,PO569945,Ahafo South,PRJ2524,BUD401,Director,Completed
TXN000093,SUP0069,2019-01-26,31572.11,USD,Office Supplies,Safety Equipment,Mining Operations,3,Direct Award,99.0,Net 60,2019-01-26,2019-04-26,PO421080,Subika,PRJ8753,BUD666,VP,Completed
TXN000094,SUP0084,2019-07-18,12551.99,USD,Waste Management,Mechanical Services,Mining Operations,3,Direct Award,97.5,Net 90,2019-07-18,2019-10-16,PO468900,Accra Office,PRJ5438,BUD413,VP,Completed
TXN000095,SUP0015,2015-03-04,71616.42,USD,Electrical Services,Environmental Services,Environmental,1,Open Tender,77.8,Net 60,2015-03-04,2015-04-03,PO430876,Ahafo South,PRJ9779,BUD880,Director,Completed
TXN000096,SUP0152,2014-04-19,67829.23,USD,Medical Services,Office Supplies,Environmental,3,Open Tender,94.1,Upon Delivery,2014-04-19,2014-07-18,PO389930,Subika,PRJ2647,BUD952,Director,Completed
TXN000097,SUP0196,2016-08-23,73734.4,USD,Medical Services,Waste Management,Administration,3,Open Tender,88.2,Net 90,2016-08-23,2016-11-21,PO288158,Subika,PRJ1231,BUD825,Director,Completed
TXN000098,SUP0071,2016-02-26,217046.78,USD,Waste Management,IT Services,Maintenance,1,Open Tender,29.0,Net 30,2016-02-26,2016-03-27,PO680238,Subika,PRJ3068,BUD753,SVP,Completed
TXN000099,SUP0111,2012-04-20,116934.97,USD,Electrical Services,Office Supplies,Mining Operations,1,Open Tender,89.3,Net 90,2012-04-20,2012-05-20,PO592198,Accra Office,PRJ8216,BUD448,Director,Completed
TXN000100,SUP0439,2011-02-25,785576.73,USD,Transportation & Logistics,Safety Equipment,Administration,2,Restricted Tender,31.3,Upon Delivery,2011-02-25,2011-04-26,PO219629,Ahafo South,PRJ7565,BUD603,Manager,Completed
TXN000101,SUP0075,2022-12-10,866440.95,USD,Accounting Services,Security Services,Environmental,36,Open Tender,30.5,Net 30,2022-12-10,2025-11-24,PO259097,Ahafo North,PRJ5978,BUD187,Director,Active
TXN000102,SUP0283,2012-08-28,183602.59,USD,Maintenance Services,Laboratory Services,Environmental,24,Open Tender,93.5,Upon Delivery,2012-08-28,2014-08-18,PO735770,Ahafo North,PRJ9561,BUD489,SVP,Completed
TXN000103,SUP0235,2019-12-06,2017968.375,GHS,Maintenance Services,Environmental Services,Maintenance,6,Restricted Tender,75.8,Upon Delivery,2019-12-06,2020-06-03,PO420214,Ahafo South,PRJ2625,BUD881,Director,Completed
TXN000104,SUP0430,2024-01-12,45459.38,USD,Consulting Services,Civil Works,Mining Operations,3,Restricted Tender,97.2,Net 90,2024-01-12,2024-04-11,PO792509,Ahafo South,PRJ3573,BUD345,Director,Completed
TXN000105,SUP0067,2022-05-19,22191.49,USD,Financial Services,Civil Works,Community Relations,1,Direct Award,96.1,Net 60,2022-05-19,2022-06-18,PO102805,Accra Office,PRJ8381,BUD805,SVP,Completed
TXN000106,SUP0444,2016-07-13,166980.61,USD,Financial Services,Construction Services,Mining Operations,1,Open Tender,86.0,Net 60,2016-07-13,2016-08-12,PO402099,Subika,PRJ8438,BUD172,Director,Completed
TXN000107,SUP0496,2015-12-08,27881.18,USD,Safety Equipment,Supplies & Materials,Maintenance,3,Open Tender,93.7,Net 60,2015-12-08,2016-03-07,PO545790,Ahafo South,PRJ9922,BUD330,Director,Completed
TXN000108,SUP0193,2015-12-17,2176803.68,USD,Consulting Services,Laboratory Services,Administration,3,Restricted Tender,1.1,Net 30,2015-12-17,2016-03-16,PO162535,Ahafo North,PRJ6039,BUD709,VP,Cancelled
TXN000109,SUP0352,2019-11-07,3130397.5,USD,Medical Services,Accounting Services,Maintenance,1,Open Tender,1.4,Upon Delivery,2019-11-07,2019-12-07,PO822131,Subika,PRJ7594,BUD378,SVP,Completed
TXN000110,SUP0150,2019-10-27,196512.97,USD,Fuel & Lubricants,Fuel & Lubricants,Mining Operations,1,Open Tender,79.1,Net 30,2019-10-27,2019-11-26,PO553014,Subika,PRJ5102,BUD126,Manager,Completed
TXN000111,SUP0494,2015-02-19,23622.95,USD,Office Supplies,Consulting Services,Environmental,3,Direct Award,81.8,Net 30,2015-02-19,2015-05-20,PO901909,Subika,PRJ1659,BUD881,Director,Completed
TXN000112,SUP0008,2020-07-21,3733815.73,USD,Fuel & Lubricants,Environmental Services,Mining Operations,3,Open Tender,9.1,Upon Delivery,2020-07-21,2020-10-19,PO391668,Ahafo North,PRJ8141,BUD750,SVP,Completed
TXN000113,SUP0310,2012-01-18,81868.62,USD,Electrical Services,Equipment Parts,Mining Operations,12,Restricted Tender,84.3,Net 90,2012-01-18,2013-01-12,PO528184,Subika,PRJ6260,BUD786,Manager,Completed
TXN000114,SUP0435,2013-08-10,44083.78,USD,Civil Works,Financial Services,Environmental,2,Direct Award,98.5,Upon Delivery,2013-08-10,2013-10-09,PO827369,Accra Office,PRJ5722,BUD778,SVP,Completed
TXN000115,SUP0223,2022-05-04,34676.92,USD,Electrical Services,Civil Works,Environmental,1,Open Tender,95.2,Upon Delivery,2022-05-04,2022-06-03,PO192337,Subika,PRJ5135,BUD431,Manager,Completed
TXN000116,SUP0163,2019-01-25,672845.98,USD,Fuel & Lubricants,Transportation & Logistics,Mining Operations,3,Open Tender,10.0,Net 30,2019-01-25,2019-04-25,PO789606,Accra Office,PRJ7770,BUD155,Director,Completed
TXN000117,SUP0082,2021-08-18,422179.95,USD,Fuel & Lubricants,Equipment Parts,Maintenance,2,Open Tender,38.6,Upon Delivery,2021-08-18,2021-10-17,PO755788,Accra Office,PRJ1845,BUD308,VP,Completed
TXN000118,SUP0153,2022-04-27,13627.64,USD,Laboratory Services,IT Services,Mining Operations,3,Restricted Tender,95.6,Net 90,2022-04-27,2022-07-26,,Accra Office,PRJ2989,BUD129,Director,Completed
TXN000119,SUP0270,2013-07-21,69954.72,USD,Financial Services,Mechanical Services,Mining Operations,6,Open Tender,75.5,Net 30,2013-07-21,2014-01-17,PO679077,Accra Office,PRJ2527,BUD330,Manager,Completed
TXN000120,SUP0395,2020-05-08,224150.86,USD,Construction Services,Waste Management,Community Relations,1,Open Tender,90.5,Net 60,2020-05-08,2020-06-07,PO622584,Subika,PRJ9337,BUD822,VP,Completed
TXN000121,SUP0177,2019-04-27,143591.46,USD,Supplies & Materials,Accounting Services,Mining Operations,2,Open Tender,38.8,Upon Delivery,2019-04-27,2019-06-26,PO355570,Accra Office,PRJ3369,BUD492,Director,Completed
TXN000122,SUP0017,2023-06-12,50028.69,USD,IT Services,Office Supplies,Mining Operations,24,Direct Award,78.6,Net 60,2023-06-12,2025-06-01,PO173201,Subika,PRJ7798,BUD448,VP,Completed
TXN000123,SUP0400,2010-01-22,862030.33,USD,IT Services,Construction Services,Maintenance,6,Open Tender,23.5,Net 90,2010-01-22,2010-07-21,PO978157,Accra Office,PRJ3434,BUD557,SVP,Completed
TXN000124,SUP0330,2017-09-28,178199.89,USD,Financial Services,Legal Services,Mining Operations,6,Open Tender,88.9,Upon Delivery,2017-09-28,2018-03-27,PO577463,Subika,PRJ4090,BUD814,Director,Completed
TXN000125,SUP0015,2022-10-29,183817.09,USD,Electrical Services,Environmental Services,Maintenance,12,Open Tender,70.5,Net 60,2022-10-29,2023-10-24,PO997594,Accra Office,PRJ1715,BUD425,SVP,Completed
