performance_id,supplier_id,year,quarter,assessment_date,delivery_performance_pct,quality_score,cost_competitiveness_score,safety_compliance_score,contract_compliance_pct,innovation_score,capacity_utilization_pct,overall_score,improvement_recommendations,contract_renewals_eligible,assessed_by
PERF000100,SUP0002,2019,1,2019-03-01,100.0,10.0,10.0,10.0,100.0,8.5,91.4,9.6,None - Excellent Performance,Yes,Assessor_04
PERF000101,SUP0002,2019,2,2019-06-01,100.0,10.0,10.0,10.0,100.0,10.0,89.9,10.0,None - Excellent Performance,Yes,Assessor_01
PERF000102,SUP0002,2019,3,2019-09-01,100.0,10.0,10.0,10.0,100.0,9.1,100.0,9.8,None - Excellent Performance,Yes,Assessor_12
PERF000103,SUP0002,2019,4,2019-12-01,100.0,10.0,10.0,10.0,100.0,8.6,100.0,9.6,None - Excellent Performance,Yes,Assessor_05
PERF000104,SUP0002,2020,1,2020-03-01,100.0,10.0,10.0,10.0,100.0,9.0,100.0,9.8,None - Excellent Performance,Yes,Assessor_07
PERF000105,SUP0002,2020,2,2020-06-01,100.0,10.0,10.0,10.0,100.0,9.6,88.5,9.9,None - Excellent Performance,Yes,Assessor_13
PERF000106,SUP0002,2020,3,2020-09-01,100.0,10.0,10.0,10.0,100.0,8.3,98.2,9.6,None - Excellent Performance,Yes,Assessor_17
PERF000107,SUP0002,2020,4,2020-12-01,100.0,10.0,10.0,10.0,100.0,8.3,91.6,9.6,None - Excellent Performance,Yes,Assessor_02
PERF000108,SUP0002,2021,1,2021-03-01,100.0,10.0,10.0,10.0,100.0,7.9,77.7,9.5,None - Excellent Performance,Yes,Assessor_16
PERF000109,SUP0002,2021,2,2021-06-01,100.0,10.0,10.0,10.0,100.0,8.2,89.1,9.5,None - Excellent Performance,Yes,Assessor_04
PERF000110,SUP0002,2021,3,2021-09-01,100.0,10.0,10.0,10.0,100.0,7.4,99.8,9.3,None - Excellent Performance,Yes,Assessor_05
PERF000111,SUP0002,2021,4,2021-12-01,100.0,10.0,10.0,10.0,100.0,9.0,100.0,9.7,None - Excellent Performance,Yes,Assessor_19
PERF000112,SUP0002,2022,1,2022-03-01,100.0,10.0,10.0,10.0,100.0,9.2,96.4,9.8,None - Excellent Performance,Yes,Assessor_06
PERF000113,SUP0002,2022,2,2022-06-01,100.0,10.0,10.0,10.0,100.0,10.0,100.0,10.0,None - Excellent Performance,Yes,Assessor_18
PERF000114,SUP0002,2022,3,2022-09-01,100.0,10.0,10.0,10.0,100.0,8.8,87.4,9.7,None - Excellent Performance,Yes,Assessor_09
PERF000115,SUP0002,2022,4,2022-12-01,100.0,10.0,10.0,10.0,100.0,8.3,100.0,9.6,None - Excellent Performance,Yes,Assessor_02
PERF000116,SUP0002,2023,1,2023-03-01,100.0,10.0,9.6,10.0,100.0,7.5,100.0,9.3,None - Excellent Performance,Yes,Assessor_16
PERF000117,SUP0002,2023,2,2023-06-01,100.0,10.0,10.0,10.0,100.0,7.9,97.7,9.5,None - Excellent Performance,Yes,Assessor_02
PERF000118,SUP0002,2023,3,2023-09-01,100.0,10.0,10.0,10.0,100.0,8.1,100.0,9.5,None - Excellent Performance,Yes,Assessor_16
PERF000119,SUP0002,2023,4,2023-12-01,100.0,10.0,10.0,10.0,100.0,9.3,100.0,9.8,None - Excellent Performance,Yes,Assessor_11
PERF000120,SUP0002,2024,1,2024-03-01,100.0,10.0,10.0,10.0,100.0,9.3,83.7,9.8,None - Excellent Performance,Yes,Assessor_08
PERF000121,SUP0002,2024,2,2024-06-01,100.0,10.0,10.0,10.0,100.0,8.0,100.0,9.5,None - Excellent Performance,Yes,Assessor_15
PERF000122,SUP0002,2024,3,2024-09-01,100.0,10.0,10.0,10.0,100.0,8.1,100.0,9.5,None - Excellent Performance,Yes,Assessor_10
PERF000123,SUP0002,2024,4,2024-12-01,100.0,10.0,10.0,10.0,100.0,10.0,100.0,10.0,None - Excellent Performance,Yes,Assessor_11
PERF000124,SUP0002,2025,1,2025-03-01,100.0,10.0,10.0,10.0,100.0,9.0,97.6,9.8,None - Excellent Performance,Yes,Assessor_11
PERF000125,SUP0002,2025,2,2025-06-01,100.0,10.0,10.0,10.0,100.0,9.3,90.3,9.8,None - Excellent Performance,Yes,Assessor_05
PERF000126,SUP0002,2025,3,2025-09-01,100.0,10.0,10.0,10.0,100.0,7.0,100.0,9.3,None - Excellent Performance,Yes,Assessor_15
PERF000127,SUP0003,2022,1,2022-03-01,85.5,8.4,8.0,9.1,100.0,7.0,76.9,8.1,Minor process improvements needed,Yes,Assessor_16
PERF000128,SUP0003,2022,2,2022-06-01,94.4,8.2,6.9,8.5,84.8,7.7,89.9,7.8,Focus on delivery timelines,Under Review,Assessor_18
PERF000129,SUP0003,2022,3,2022-09-01,98.1,7.7,9.5,8.9,95.9,7.7,100.0,8.4,Minor process improvements needed,Yes,Assessor_09
PERF000130,SUP0003,2022,4,2022-12-01,98.3,7.7,9.4,8.7,88.2,6.6,94.7,8.1,Minor process improvements needed,Yes,Assessor_01
PERF000131,SUP0003,2023,1,2023-03-01,88.2,8.0,9.0,8.6,82.3,7.0,94.0,8.1,Minor process improvements needed,Yes,Assessor_03
PERF000132,SUP0003,2023,2,2023-06-01,99.6,8.7,9.3,9.1,93.1,6.3,94.1,8.4,Minor process improvements needed,Yes,Assessor_15
PERF000133,SUP0003,2023,3,2023-09-01,100.0,8.4,8.9,8.1,100.0,7.0,100.0,8.1,Minor process improvements needed,Yes,Assessor_10
PERF000134,SUP0003,2023,4,2023-12-01,100.0,8.1,9.5,8.9,100.0,6.0,89.1,8.1,Minor process improvements needed,Yes,Assessor_13
PERF000135,SUP0003,2024,1,2024-03-01,88.8,8.6,7.7,8.2,100.0,8.6,97.0,8.3,Minor process improvements needed,Yes,Assessor_05
PERF000136,SUP0003,2024,2,2024-06-01,93.4,8.7,7.8,8.4,99.2,6.4,100.0,7.8,Focus on delivery timelines,Under Review,Assessor_05
PERF000137,SUP0003,2024,3,2024-09-01,100.0,7.8,7.0,8.4,98.9,8.6,88.1,7.9,Focus on delivery timelines,Under Review,Assessor_04
PERF000138,SUP0003,2024,4,2024-12-01,91.2,8.2,8.8,8.4,94.9,5.0,100.0,7.6,Focus on delivery timelines,Under Review,Assessor_03
PERF000139,SUP0003,2025,1,2025-03-01,100.0,8.2,9.3,9.3,100.0,6.8,69.4,8.4,Minor process improvements needed,Yes,Assessor_05
PERF000140,SUP0003,2025,2,2025-06-01,99.5,9.1,8.6,8.1,96.9,3.1,100.0,7.2,Focus on delivery timelines,Under Review,Assessor_06
PERF000141,SUP0003,2025,3,2025-09-01,91.0,7.9,9.0,9.0,88.5,6.6,91.7,8.1,Minor process improvements needed,Yes,Assessor_12
PERF000142,SUP0004,2010,1,2010-03-01,84.5,6.8,5.4,6.0,75.9,6.2,98.3,6.1,Enhance quality controls,Under Review,Assessor_05
PERF000143,SUP0004,2010,2,2010-06-01,81.9,7.0,7.4,6.4,84.5,8.0,82.9,7.2,Focus on delivery timelines,Under Review,Assessor_01
PERF000144,SUP0004,2010,3,2010-09-01,76.3,6.5,5.7,6.4,75.5,4.5,86.2,5.8,Comprehensive improvement plan required,No,Assessor_10
PERF000145,SUP0004,2010,4,2010-12-01,76.3,5.4,5.3,6.9,55.0,5.6,75.4,5.8,Comprehensive improvement plan required,No,Assessor_13
PERF000146,SUP0004,2011,1,2011-03-01,79.2,6.3,6.9,6.9,65.6,4.7,80.2,6.2,Enhance quality controls,Under Review,Assessor_15
PERF000147,SUP0004,2011,2,2011-06-01,81.6,6.2,6.5,7.8,79.8,5.6,81.6,6.5,Enhance quality controls,Under Review,Assessor_08
PERF000148,SUP0004,2011,3,2011-09-01,79.4,7.0,6.6,6.9,80.1,3.0,95.5,5.9,Comprehensive improvement plan required,No,Assessor_02
PERF000149,SUP0004,2011,4,2011-12-01,78.8,6.9,6.8,6.9,85.2,5.8,83.7,6.6,Enhance quality controls,Under Review,Assessor_14
PERF000150,SUP0004,2012,1,2012-03-01,84.1,6.7,7.1,7.1,69.2,3.5,77.1,6.1,Enhance quality controls,Under Review,Assessor_07
PERF000151,SUP0004,2012,2,2012-06-01,73.0,5.9,5.8,7.6,60.0,4.9,73.2,6.0,Enhance quality controls,Under Review,Assessor_11
PERF000152,SUP0004,2012,3,2012-09-01,76.5,7.6,7.3,6.2,90.5,6.4,82.8,6.9,Enhance quality controls,Under Review,Assessor_16
PERF000153,SUP0004,2012,4,2012-12-01,80.1,6.2,6.4,5.7,80.8,2.6,94.6,5.2,Comprehensive improvement plan required,No,Assessor_11
PERF000154,SUP0004,2013,1,2013-03-01,84.7,6.7,6.8,6.6,77.1,5.2,76.6,6.3,Enhance quality controls,Under Review,Assessor_16
PERF000155,SUP0004,2013,2,2013-06-01,90.2,7.0,6.6,7.1,66.1,5.4,78.9,6.5,Enhance quality controls,Under Review,Assessor_13
PERF000156,SUP0004,2013,3,2013-09-01,87.8,6.4,6.3,7.0,65.1,5.3,72.8,6.3,Enhance quality controls,Under Review,Assessor_07
PERF000157,SUP0004,2013,4,2013-12-01,84.9,6.6,5.9,6.6,69.2,6.6,76.1,6.4,Enhance quality controls,Under Review,Assessor_13
PERF000158,SUP0004,2014,1,2014-03-01,80.6,7.5,6.8,6.6,76.2,5.8,73.1,6.7,Enhance quality controls,Under Review,Assessor_10
PERF000159,SUP0004,2014,2,2014-06-01,79.0,7.3,7.1,6.3,79.5,4.5,100.0,6.3,Enhance quality controls,Under Review,Assessor_18
PERF000160,SUP0004,2014,3,2014-09-01,76.4,6.7,6.9,6.1,71.1,5.8,82.5,6.4,Enhance quality controls,Under Review,Assessor_01
PERF000161,SUP0004,2014,4,2014-12-01,79.7,6.9,6.6,6.7,80.9,7.9,80.5,7.0,Focus on delivery timelines,Under Review,Assessor_02
PERF000162,SUP0004,2015,1,2015-03-01,73.9,7.4,5.3,6.4,88.4,7.3,82.0,6.6,Enhance quality controls,Under Review,Assessor_11
PERF000163,SUP0004,2015,2,2015-06-01,82.4,6.8,5.2,7.1,64.5,4.4,80.2,5.9,Comprehensive improvement plan required,No,Assessor_17
PERF000164,SUP0004,2015,3,2015-09-01,80.0,7.3,7.3,6.9,68.6,6.0,70.5,6.9,Enhance quality controls,Under Review,Assessor_03
PERF000165,SUP0004,2015,4,2015-12-01,71.2,7.3,7.5,6.1,86.9,5.7,79.0,6.6,Enhance quality controls,Under Review,Assessor_12
PERF000166,SUP0004,2016,1,2016-03-01,81.0,7.8,7.1,6.6,64.0,6.7,83.1,7.1,Focus on delivery timelines,Under Review,Assessor_12
PERF000167,SUP0004,2016,2,2016-06-01,88.0,6.5,6.1,6.0,74.2,6.2,86.8,6.2,Enhance quality controls,Under Review,Assessor_06
PERF000168,SUP0004,2016,3,2016-09-01,87.7,7.6,6.0,7.0,81.7,3.7,86.3,6.1,Enhance quality controls,Under Review,Assessor_14
PERF000169,SUP0004,2016,4,2016-12-01,80.2,7.0,5.6,5.9,64.0,4.4,99.2,5.7,Comprehensive improvement plan required,No,Assessor_04
PERF000170,SUP0004,2017,1,2017-03-01,82.0,7.4,7.6,5.7,83.6,2.2,86.4,5.7,Comprehensive improvement plan required,No,Assessor_06
PERF000171,SUP0004,2017,2,2017-06-01,79.7,7.8,7.0,7.2,69.9,4.9,74.2,6.7,Enhance quality controls,Under Review,Assessor_02
PERF000172,SUP0004,2017,3,2017-09-01,80.3,7.6,6.6,6.5,95.0,6.3,70.1,6.8,Enhance quality controls,Under Review,Assessor_01
PERF000173,SUP0004,2017,4,2017-12-01,89.1,7.6,6.5,6.1,65.6,4.9,80.0,6.3,Enhance quality controls,Under Review,Assessor_02
PERF000174,SUP0004,2018,1,2018-03-01,81.4,6.5,6.6,7.1,66.4,6.1,81.5,6.6,Enhance quality controls,Under Review,Assessor_11
PERF000175,SUP0004,2018,2,2018-06-01,90.1,8.0,6.4,7.8,75.4,4.8,80.0,6.7,Enhance quality controls,Under Review,Assessor_16
PERF000176,SUP0004,2018,3,2018-09-01,81.0,7.8,7.7,6.2,79.3,4.3,79.1,6.5,Enhance quality controls,Under Review,Assessor_04
PERF000177,SUP0004,2018,4,2018-12-01,69.9,7.9,5.4,6.8,65.0,3.1,91.5,5.8,Comprehensive improvement plan required,No,Assessor_05
